"model","ER_Pos","Grade_2or_3","Grade_3","InnerKwd_1","Lateral_2","Married_1","PR_Pos","Race_Asian","Race_Black","Race_Hisp","Surg_BCRT","Surg_MA","Surg_MART"
"M1","+","+","+","+","+","+","+","+","+","+","+","-","+"
"M200K1","+","+","+","+","+","+","+","+","+","-","+","-","+"
"M200K2","+","+","+","+","+","+","+","+","+","-","+","-","+"
"M100K1","+","+","+","+","-","+","+","+","+","+","+","-","+"
"M100K2","+","+","+","+","-","+","+","+","+","+","+","-","-"
"M50K1","+","+","+","+","-","+","+","+","+","-","+","-","+"
"M50K2","+","+","+","+","-","+","+","+","+","-","+","-","+"
"M25K1","+","+","+","-","+","+","-","+","+","-","+","-","+"
"M25K2","+","+","+","+","-","+","+","+","+","-","+","-","-"
"M25K3","+","+","+","+","-","+","+","+","+","-","+","-","-"
"M10K1","+","+","+","+","-","+","-","-","+","-","+","+","-"
"M10K2","+","-","+","-","-","+","+","+","+","-","+","+","-"
"M10K3","+","-","+","+","-","+","+","+","+","+","+","-","+"
"M5K1","+","-","+","-","-","+","+","+","+","-","+","-","-"
"M5K2","+","-","+","-","-","-","-","-","+","+","+","-","+"
"M5K3","+","+","+","+","-","+","+","-","+","-","+","-","+"
"M2K5_1","+","+","+","-","-","-","-","+","+","-","+","-","-"
"M2K5_2","+","-","+","+","-","+","-","+","+","-","+","-","-"
"M2K5_3","-","-","+","-","+","+","+","-","+","-","+","-","+"
"M1K1","+","+","+","-","-","-","+","-","+","+","-","-","+"
"M1K2","+","+","-","-","-","-","+","-","+","-","-","+","-"
"M1K3","+","-","+","-","-","-","+","-","+","-","-","+","+"
