"model","ER_Pos","Grade_2or_3","Grade_3","InnerKwd_1","Lateral_2","Married_1","PR_Pos","Race_Asian","Race_Black","Race_Hisp","Surg_BCRT","Surg_MA","Surg_MART"
"M1b","+","+","+","+","-","+","+","+","+","-","+","-","+"
"M200K1b","+","+","+","+","-","+","+","+","+","-","+","-","+"
"M200K2b","+","+","+","+","-","+","+","+","+","-","+","-","+"
"M100K1b","+","+","+","+","-","+","+","+","+","-","+","-","-"
"M100K2b","+","+","+","+","-","+","+","+","+","-","+","-","+"
"M50K1b","+","+","+","-","-","+","+","+","+","-","+","-","-"
"M50K2b","+","+","+","-","-","+","+","+","+","-","+","-","-"
"M25K1b","+","+","+","-","-","+","-","+","+","-","+","-","-"
"M25K2b","+","-","+","-","-","+","-","-","+","-","+","-","-"
"M25K3b","+","+","+","-","-","+","-","-","+","-","+","-","-"
"M10K1b","+","+","+","-","-","+","-","-","+","-","+","-","-"
"M10K2b","+","+","+","-","-","+","-","-","+","-","-","-","-"
"M10K3b","-","-","+","-","-","+","+","-","+","-","+","-","-"
"M5K1b","+","-","-","-","-","+","-","-","+","-","-","+","-"
"M5K2b","+","-","-","-","-","+","-","-","+","-","+","-","-"
"M5K3b","-","-","+","-","-","+","-","-","+","-","+","-","-"
"M2K5_1b","-","-","+","-","-","+","-","-","+","-","-","+","-"
"M2K5_2b","-","-","+","-","-","+","+","-","+","-","-","-","-"
"M2K5_3b","-","-","+","-","-","-","+","-","+","-","-","+","-"
"M1K1b","-","-","+","-","-","-","-","-","+","-","-","-","-"
"M1K2b","+","-","-","-","-","-","-","-","+","-","-","-","-"
"M1K3b","-","-","+","-","-","-","-","-","+","-","-","+","-"
