"model","AgeDgc_P1","AgeDgc_P2","tSizeMm_P1","tSizeMm_P2","EodNPos_P1","EodNPos_P2","YearDgc_SelectedP1"
"M1","0.5","1","1","1","0.5","1","1"
"M200K1","0.5","1","1","1","0.5","1","1"
"M200K2","0.5","1","1","1","0.5","1","1"
"M100K1","0.5","0.5","1","1","0","0","1"
"M100K2","0.5","0.5","1","1","0.5","1","1"
"M50K1","1","1","0.5","3","0",".","1"
"M50K2","1","1","1","1","-0.5","0.5","1"
"M25K1","0.5","1","1","2","1","1","1"
"M25K2","0.5","0.5","1","2","0.5","2","1"
"M25K3","0.5","0.5","0.5",".","-0.5","0","1"
"M10K1","-0.5","0","0.5",".","0",".","."
"M10K2","0.5","1","1","2","0.5",".","1"
"M10K3","0.5","1","-0.5",".","0",".","1"
"M5K1","0","0.5","1","3","0.5",".","."
"M5K2","3",".","1",".","0.5",".","1"
"M5K3","0.5","2","-0.5",".","0",".","."
"M2K5_1","3",".","1",".","0",".","1"
"M2K5_2","-1","0","1",".","0",".","."
"M2K5_3","0","0.5","1",".","-0.5",".","."
"M1K1","3",".","1",".","1",".","1"
"M1K2","3",".","1",".","1",".","."
"M1K3","0","0.5","1",".","1",".","."
