"model","AgeDgc_P1","AgeDgc_P2","tSizeMm_P1","tSizeMm_P2","EodNPos_P1","EodNPos_P2","YearDgc_SelectedP1"
"M1b","0.5","1","1","1","0.5","1","1"
"M200K1b","0.5","1","1","1","0.5","1","1"
"M200K2b","0.5","1","1","1","0.5","1","1"
"M100K1b","0.5","1","1","1","0","0","1"
"M100K2b","0.5","0.5","1","1","0.5","1","1"
"M50K1b","1","1","0.5","3","0","0","1"
"M50K2b","0.5","1","1","1","-0.5","0.5","1"
"M25K1b","0.5","1","1","2","1","1","1"
"M25K2b","0.5","0.5","1","1","0.5","2","1"
"M25K3b","0.5","0.5","0.5",".","-0.5","0","1"
"M10K1b","0","0","0.5",".","0",".","."
"M10K2b","0.5","1","1","2","0.5",".","1"
"M10K3b","0.5","0.5","-0.5",".","0",".","."
"M5K1b","0","0.5","1","2","0.5",".","."
"M5K2b","3",".","1",".","0.5",".","1"
"M5K3b","1","1","-0.5",".","0",".","."
"M2K5_1b","3",".","1",".","0",".","."
"M2K5_2b","-1","0","1",".","0",".","."
"M2K5_3b","0","0.5","1",".","-0.5",".","."
"M1K1b","3",".","1",".","1",".","."
"M1K2b","3",".","1",".","1",".","."
"M1K3b","0","0.5","1",".","1",".","."
